RT (min),Intensity_mz_695.3790,Intensity_mz_678.3508,Intensity_mz_700.3328
3.2969588,0,115693.5078,96615.34375
3.3056817,0,0,127195.5234
3.3144066,0,0,0
3.3231316,0,0,0
3.3318565,0,0,0
3.3405794,0,0,69733.17188
3.3493043,0,46162.07422,0
3.3580293,0,61236.26172,0
3.3667542,0,0,50902.95313
3.3754771,0,0,0
3.384202,0,0,0
3.392927,53138.66406,0,45982.5625
3.4016498,107517.75,0,0
3.4103748,0,0,0
3.4190997,0,0,0
3.4278247,0,0,0
3.4365475,0,0,0
3.4452725,0,0,0
3.4539974,0,0,0
3.4627224,191615.9531,0,0
3.4714452,0,0,0
3.4801702,0,0,0
3.4888951,0,0,0
3.497618,0,0,0
3.5063429,0,0,0
3.5150681,0,0,0
3.5237928,0,0,0
3.5325157,0,0,0
3.5412406,81084.4375,0,0
3.5499656,94877.28125,0,0
3.5586905,121144.7578,0,0
3.5674134,101188.9375,61263.28125,0
3.5761383,68446.125,0,0
3.5848634,0,0,0
3.5935882,71201.96094,0,0
3.6023111,0,0,0
3.611036,0,0,0
3.619761,0,99319.52344,0
3.6284838,0,85621.16406,0
3.6372088,0,0,0
3.6459337,0,0,0
3.6546586,0,0,0
3.6633815,0,0,0
3.6721065,0,0,0
3.6808314,0,0,0
3.6895564,0,0,0
3.6982792,0,51200.05078,0
3.7070042,48811.26172,0,0
3.7157291,0,0,0
3.724452,0,0,134727.2656
3.7331769,0,0,0
3.7419019,0,0,0
3.7506268,0,0,0
3.7593497,0,0,0
3.7680746,0,0,0
3.7767996,0,0,0
3.7855245,0,0,0
3.7942473,0,0,0
3.8029723,0,0,0
3.8116972,0,0,0
3.8204222,0,0,0
3.8291451,0,0,168581.5781
3.83787,113426.4609,0,0
3.8465952,578653.75,0,377139.6563
3.8553178,904243.375,0,443135.1875
3.8640428,625348.875,0,192404.1875
3.8727677,528539.375,0,159279.9063
3.8814927,519863.3125,0,157862.1563
3.8902155,964150.1875,0,313605.3125
3.8989405,714902.25,70230.78125,296292.8438
3.9076654,341596.8438,0,182502.2969
3.9163903,76645.4375,0,54015.96484
3.9251132,121050.8047,0,0
3.9338381,133650.0313,0,0
3.9425631,72114.46094,149810.625,0
3.951286,0,78811.10938,0
3.9600109,0,0,0
3.9687359,0,0,0
3.9774608,0,0,0
3.9861837,174513.0469,0,0
3.9949086,0,178889.7969,0
4.0036335,0,0,0
4.0123584,87871.76563,0,0
4.0210813,84375.40625,0,0
4.0298063,103391.0469,0,0
4.0385312,0,0,0
4.0472541,128356.2656,0,0
4.055979,103143.6094,0,0
4.064704,0,0,0
4.0734289,0,0,0
4.0821518,0,0,0
4.0908767,0,0,0
4.0996017,0,73649.53906,0
4.1083266,0,80713.54688,0
4.1170495,175700.0938,0,0
4.1257744,193389.0313,0,0
4.1344994,450031.0625,108067.8672,0
4.1432243,9489837,2661220.75,3365744
4.1519471,20231930,5117277,5040589
4.1606721,24043796,7235627,6511825.5
4.1693971,19163684,4672280.5,6504041.5
4.1876847,3396938.75,873583.875,1970388
4.1975385,1326796.125,1157109.625,1318777.875
4.2062614,636940.0625,534805.9375,662718.25
4.2149864,307237.7813,391574.2813,237751.1563
4.2237113,242328.9375,288026.0938,121000.4141
4.2324363,176554.3906,164245.4219,133268.0938
4.2411591,285180.3438,155989.7344,161712.1875
4.2498841,114218.9141,55501.625,82441.36719
4.258609,126400.2344,93074.98438,92257.625
4.2673321,88998.57813,99299.39063,94778.03125
4.2760568,0,40735.33594,99965.80469
4.2847818,89737.58594,54546.78516,92427.35938
4.2935067,0,68360.66406,65052.67188
4.3022296,52166.27734,113007.125,71564.4375
4.3109545,0,0,0
4.3196795,47004.77344,0,70831.50781
4.3284044,0,0,55780.62891
4.3371273,70325.78125,0,0
4.3458522,0,0,0
4.3545771,0,0,0
4.3633,0,0,0
4.372025,88413.10938,63126.73438,76930.57031
4.3807499,99428.39844,0,0
4.3894749,0,0,0
4.3981977,95356.71875,80599.71875,134927.7344
4.4069226,0,0,146788.8125
4.4156476,0,0,0
4.4243725,0,0,0
4.4330954,0,0,0
4.4418204,0,0,0
4.4505453,0,0,0
4.4592682,0,0,0
4.4679931,0,0,0
4.4767181,0,0,0
4.485443,41860.82422,0,0
4.4941659,0,0,0
4.5028908,0,38537.79297,0
4.511616,0,59468.67188,0
4.5203407,0,0,0
