SampleID,Tube_Name,Box,Cage,Day,Amp,Hypothesis,Batch,Mother_Infant
MO_C5_B7_Hypo1_1,NA,NA,5,B7,FALSE,1,1,Mother
MO_C5_D21_Hypo3_2,NA,NA,5,B21,TRUE,3,2,Mother
MOI_C5_D21_Hypo3_2,NA,NA,5,B21,TRUE,3,2,Infant
MOI_C5_D10_Hypo3_2,MOI_C5_D10,6,5,B10,FALSE,3,2,Infant
MO_C5_E17_Hypo1_1,MO_C5_E17,1,5,E17,FALSE,1,1,Mother
MO_C5_E16_Hypo1_1,MO_C5_E16,1,5,E16,FALSE,1,1,Mother
MO_C5_D10_Hypo3_2,MO_C5_D10,6,5,B10,FALSE,3,2,Mother
MO_C5_D1_Hypo3_2,MO_C5_D1,6,5,B1,FALSE,3,2,Mother
MO_C5_B7_Hypo2_1,MO_C5_B7,2,5,B7,TRUE,2,1,Mother
MO_C5_B3_Hypo2_1,MO_C5_B3,2,5,B3,TRUE,2,1,Mother
MO_C5_B21_Hypo1_1,MO_C5_B21,3,5,B22,FALSE,1,1,Mother
MO_C5_B21_Hypo2_1,MO_C5_B21,2,5,B21,TRUE,2,1,Mother
MO_C5_B2_Hypo2_1,MO_C5_B2,2,5,B2,TRUE,2,1,Mother
MO_C5_B14_Hypo2_1,MO_C5_B14,2,5,B14,TRUE,2,1,Mother
MO_C5_B14_Hypo1_1,MO_C5_B14,3,5,B15,FALSE,1,1,Mother
MO_C5_B1_Hypo2_1,MO_C5_B1,2,5,B1,TRUE,2,1,Mother
MO_C5_B1_Hypo1_1,MO_C5_B1,1,5,B1,FALSE,1,1,Mother
MOI_C6_D14_Hypo2_1,NA,NA,6,B14,TRUE,2,1,Infant
MOI_C6_D21_Hypo2_1,NA,NA,6,B21,TRUE,2,1,Infant
MOI_C6_D7_Hypo2_1,NA,NA,6,B7,TRUE,2,1,Infant
MO_C6_D21_Hypo3_2,NA,NA,6,B21,TRUE,3,2,Mother
MOI_C6_D21_Hypo3_2,NA,NA,6,B21,TRUE,3,2,Infant
MOI_C6_D10_Hypo3_2,MOI_C6_D10,6,6,B10,FALSE,3,2,Infant
MOI_C6_B7_Hypo1_1,MOI_C6_B7,3,6,B7,TRUE,1,1,Infant
MOI_C6_B21_Hypo1_1,MOI_C6_B21,3,6,B21,TRUE,1,1,Infant
MOI_C6_B14_Hypo1_1,MOI_C6_B14,3,6,B14,TRUE,1,1,Infant
MO_C6_E18_Hypo1_1,MO_C6_E18,1,6,E18,TRUE,1,1,Mother
MO_C6_E17_Hypo1_1,MO_C6_E17,1,6,E17,TRUE,1,1,Mother
MO_C6_E16_Hypo1_1,MO_C6_E16,1,6,E16,TRUE,1,1,Mother
MO_C6_D10_Hypo3_2,MO_C6_D10,6,6,B10,FALSE,3,2,Mother
MO_C6_D1_Hypo3_2,MO_C6_D1,6,6,B1,FALSE,3,2,Mother
MO_C6_B7_Hypo2_1,MO_C6_B7,2,6,B7,TRUE,2,1,Mother
MO_C6_B7_Hypo1_1,MO_C6_B7,3,6,B7,TRUE,1,1,Mother
